wikidata_id	count
ambassador of Malaysia	9
ambassador of Rwanda	9
prince	9
fictional princess	9
ambassadeur dans l'Empire ottoman	8
ambassador to Gabon	8
ambassador to Liechtenstein	8
ambassador to Chad	8
ambassador to Ghana	8
ambassador to Andorra	8
ambassador to Malawi	8
ambassador of the Russian Empire	8
ambassadeur à Taïwan	8
ambassador of Denmark	8
ambassador to Tajikistan	8
ambassador of the European Union	8
ambassadeur au Guyana	8
ambassador to Cameroon	8
ambassador to Madagascar	8
ambassador to Liberia	8
ambassadeur en Guinée-Bissau	8
ambassador to Haiti	8
ambassador to North Korea	8
Permanent Representative to the United Nations Organizations in Geneva	8
ambassador of Montenegro	8
ambassador of Pakistan	8
ambassador of Armenia	8
ambassador of Jordan	8
ambassador of South Korea	8
ambassador of Vietnam	8
ambassador of Mozambique	8
ambassador of Luxembourg	8
部落	8
First Nations	8
chair	8
victim of Stalinism	8
general	8
biblical character	8
tourist	8
Indigenous peoples of Arizona	8
ambassador to the United Kingdom of Great Britain and Ireland	7
ambassador to the Russian Empire	7
ambassador of the Ottoman Empire	7
ambassador to Austria-Hungary	7
Ambassador of the Republic of China (Taiwan)	7
ambassador to Niger	7
ambassador to Eritrea	7
ambassador to Equatorial Guinea	7
ambassador to the Republic of the Congo	7
ambassador to Palau	7
ambassador to Burkina Faso	7
ambassador to the Central African Republic	7
ambassador to Zambia	7
inmate functionary	7
fictional queen	7
advertising character	7
Permanent Representative to the European Union	7
ambassador of Lithuania	7
ambassador of Syria	7
Yemeni ambassador	7
consul	7
diplomatic rank	7
ambassador of North Korea	7
Indonesian ambassador	7
family	7
נחותי	7
mascot character	7
painting	7
business	7
secretary of state	7
permanent mission	6
permanent representative to the United Nations at Vienna	6
Pharao der 3. Dynastie	6
ambassador of the United Kingdom of Great Britain and Ireland	6
ambassador to Brunei	6
ambassador of the Philippines	6
ambassador to the Bahamas	6
ambassador to Papua New Guinea	6
ambassador to San Marino	6
ambassador to the Seychelles	6
ambassador to Djibouti	6
ambassador to Benin	6
ambassador to Suriname	6
ambassador to Lesotho	6
ambassador to Trinidad and Tobago	6
ambassador to the Marshall Islands	6
Indigenous Australians	6
ambassador of Cuba	6
Venezuelan ambassador	6
ambassador of Burkina Faso	6
ambassador of the Czech Republic	6
ambassador of Croatia	6
ambassador of Kyrgyzstan	6
ambassador of Sudan	6
ambassador of Singapore	6
Ambassador of Zambia	6
ambassador of Namibia	6
ambassador of Ireland	6
Yugoslav ambassador	6
ambassador to Botswana	6
collective pseudonym	6
cross-dressing saints	6
cardinal-nephew	6
legal case	6
caste	6
king in Greek mythology	6
富豪	6
Principal Private Secretary	6
chief of staff	6
ambassador of Tanzania	5
Pharao der 6. Dynastie	5
ambassador of the German Reich	5
animated character	5
High Commissioner	5
apostolic nuncio	5
ambassador to Mauritius	5
ambassador to South Sudan	5
ambassador to East Timor	5
ambassador to Sierra Leone	5
ambassador to Vanuatu	5
ambassador to the Federated States of Micronesia	5
ambassador to Tonga	5
film character	5
ambassador to the Comoros	5
ambassador to West Germany	5
ambassador of Bahrain	5
ambassador of Guatemala	5
ambassador of New-Zealand	5
Equatorial Guinea ambassador	5
Burundian Ambassador	5
ambassador of Nigeria	5
ambassador of Cape Verde	5
ambassador of Kazakhstan	5
ambassador of Qatar	5
ambassador of Bangladesh	5
ambassador of the Maldives	5
ambassadeur d'Éthiopie	5
ambassador of Guinea-Bissau	5
ambassador of Nepal	5
ambassador of Panama	5
military attaché	5
child prodigy	5
commissioner	5
Hindu deity	5
village	5
collective	5
professor	5
twins	5
encyclopedia article	5
family name	5
member of an identical sibling group	5
United States Assistant Secretary of State	5
convict on death row	4
Poles	4
ambassador of the Central African Republic	4
ambassador to the king of England	4
Ambassador to the Republic of China (1912-1949)	4
State Minister	4
people	4
ambassador of Andorra	4
United Nations Special Rapporteur	4
ambassador to Nauru	4
ambassador to Antigua and Barbuda	4
ambassador to Kiribati	4
ambassador to Belize	4
ambassadeur en Dominique	4
ambassador to Eswatini	4
ambassador to Korea	4
ambassador to the Gambia	4
ambassador to Grenada	4
administrator	4
theatrical character	4
occupation	4
ambassador of Bolivia	4
ambassador of Ivory Coast	4
ambassador of Ghana	4
ambassador of São Tomé and Príncipe	4
ambassador of Kuwait	4
ambassador of Slovenia	4
ambassador of Sierra Leone	4
ambassador of Zimbabwe	4
ambassador of Senegal	4
athlete	4
noble title	4
stillborn	4
ambassador to Serbia and Montenegro	4
UCLG member	4
ambassador of Afghanistan	4
anonymous master	4
photographic studio	4
Zvhil	4
suicide	4
photograph	4
male organism	4
museum collection	4
male given name	4
przedsiębiorstwo	4
homicide	4
scholarly article	4
musical work/composition	4
Wikinews article	4
Tibetan Buddhist monastery	4
Commons category	4
I'S Wing	4
duo	4
index term	4
dramatico-musical work	4
event	4
Norse mythical character	4
ambassador to the Solomon Islands	3
ambassador to the European Union	3
Wikimedia category	3
agriculture minister	3
ambassador of the Austrian Empire	3
ambassador of Palau	3
ambassador to São Tomé and Príncipe	3
African people	3
ambassador of Turkmenistan	3
ambassador of the Kingdom of England	3
ambassador to the Austrian Empire	3
king	3
character in the Mahabharata	3
nomad	3
advocate general	3
wife	3
ambassador-at-large	3
